source_id	target_id
2784	328926
2784	316603
2784	414727
2784	269179
2784	301362
2784	430421
2784	239218
2784	246826
2784	392382
2784	432639
2784	90523
2784	400628
2784	234661
2784	281954
2784	375490
2784	467731
2784	8986
2784	11893
2784	97593
2784	453585
12057	178184
12057	259131
12057	19
12057	70568
12057	244537
12057	460560
12057	151418
12057	214322
12057	423701
12057	444517
12057	24168
12057	139892
12057	176020
12057	262194
12057	271520
12057	417027
12057	23268
12057	238112
12057	217853
12057	382023
19620	55770
19620	71379
19620	281920
19620	307389
19620	121786
19620	140775
19620	295086
19620	305345
19620	419437
19620	446030
19620	10519
19620	10993
19620	18500
19620	81458
19620	87428
19620	114689
19620	150965
19620	154835
19620	162433
19620	174561
23768	6849
23768	372635
23768	47725
23768	97179
23768	98314
23768	408943
23768	418458
23768	431768
23768	103395
23768	165654
23768	217270
23768	294587
23768	55893
23768	245020
23768	280718
23768	288219
23768	306924
23768	419278
23768	426765
23768	10154
23814	441155
23814	126860
23814	202037
23814	75642
23814	61448
23814	95868
23814	337787
23814	200738
23814	482080
23814	484771
23814	96315
23814	108580
23814	477252
23814	479622
23814	98330
23814	424598
23814	67231
23814	169148
23814	368503
23814	438446
28091	250657
28091	361323
28091	151475
28091	151616
28091	13428
28091	20025
28091	26588
28091	51805
28091	91668
28091	94718
28091	109803
28091	112680
28091	115976
28091	118070
28091	176005
28091	186525
28091	206911
28091	218753
28091	277428
28091	340774
34581	2461
34581	202661
34581	141989
34581	453454
34581	356487
34581	456833
34581	143851
34581	326008
34581	407215
34581	434178
34581	447009
34581	104559
34581	133288
34581	212448
34581	310653
34581	315633
34581	395497
34581	461019
34581	466914
34581	6778
46930	158502
46930	372652
46930	132116
46930	132073
46930	255160
46930	74958
46930	177688
46930	205804
46930	346898
46930	417039
46930	1013
46930	296740
46930	112020
46930	137419
46930	157610
46930	26673
46930	90235
46930	104018
46930	324921
46930	113606
51579	129266
51579	269962
51579	412978
51579	35515
51579	257156
51579	356351
51579	430932
51579	466657
51579	129883
51579	236286
51579	116153
51579	353201
51579	255082
51579	156716
51579	14171
51579	88301
51579	257942
51579	258475
51579	444380
51579	461094
62560	417408
62560	304395
62560	425452
62560	71274
62560	155140
62560	256247
62560	281387
62560	338613
62560	111983
62560	149551
62560	286290
62560	301286
62560	403617
62560	457328
62560	26299
62560	91514
62560	116559
62560	316061
62560	321093
62560	326334
96556	267127
96556	221435
96556	10013
96556	23558
96556	39745
96556	159123
96556	200056
96556	232186
96556	300585
96556	166198
96556	97493
96556	279762
96556	474810
96556	127624
96556	276568
96556	298939
96556	209156
96556	243675
96556	310040
96556	356740
97000	236153
97000	165094
97000	2004
97000	81546
97000	87354
97000	109267
97000	369880
97000	429934
97000	6062
97000	187686
97000	200145
97000	212834
97000	235778
97000	301108
97000	381868
97000	465453
97000	45097
97000	158882
97000	163389
97000	253431
105587	345965
105587	92056
105587	48700
105587	112299
105587	21416
105587	7425
105587	18190
105587	90909
